Nim Deathmantle; 3.36; rare; 7.9
Jeskai Charm; 0.09; uncommon; 0.24
Terminate; 0.3; uncommon; 0.9
Dromoka's Command; 0.44; rare; 1.4
Child of Alara; 1.48; rare; 5.8
The Mimeoplasm; 0.79; rare; 2.33
Fiery Justice; 0.13; rare; 0.4
Panharmonicon; 4.35; rare; 9.85
Hostage Taker; 0.19; rare; 1.9
Capture Sphere; 0.04; common; 0.13
Zur the Enchanter; 1.58; rare; 3.83
Spider Spawning; 0.05; uncommon; 0.13
Arachnus Web; 0.04; common; 0.13
Impervious Greatwurm; 0.38; rare; 1.85
Seeker of the Way; 0.05; common; 0.13
Consecrated Sphinx; 20.84; mythic; 38.83
Graveblade Marauder; 0.09; uncommon; 0.14
Jeskai Elder; 0.04; common; 0.13
Winged Coatl; 0.04; common; 0.13
Prized Amalgam; 0.49; rare; 2.33
Marchesa, the Black Rose; 1.71; rare; 5.9
Ingenious Skaab; 0.04; common; 0.13
Orzhov Pontiff; 0.19; uncommon; 0.93
Kaervek the Merciless; 0.16; rare; 0.67
Gods Willing; 0.05; common; 0.13
Mistfire Adept; 0.08; uncommon; 0.13
Kruin Striker; 0.04; common; 0.13
Tariel, Reckoner of Souls; 0.39; rare; 1.85
Strands of Undeath; 0.04; common; 0.13
Glen Elendra Liege; 0.24; rare; 2.19
Last Breath; 0.05; common; 0.13
Monastery Swiftspear; 0.44; common; 2.89
Hyena Umbra; 0.05; common; 0.25
Ulamog, the Infinite Gyre; 26.47; mythic; 42.83
Hardened Scales; 3.7; rare; 8.35
River Hoopoe; 0.08; uncommon; 0.13
Selesnya Sanctuary; 0.08; uncommon; 0.44
Summer Bloom; 0.85; uncommon; 3.8
Dragonlord Dromoka; 8.47; mythic; 19.9
Pirate's Pillage; 0.05; common; 0.62
Seasoned Pyromancer; 24.49; mythic; 54.85
Kasmina's Transmutation; 0.04; common; 0.13
Oona's Prowler; 0.34; rare; 1.4
Deep Analysis; 0.05; common; 0.13
Sedris, the Traitor King; 1.75; mythic; 4.9
Hissing Iguanar; 0.04; common; 0.13
Bloodbraid Elf; 0.34; uncommon; 0.91
Living Lightning; 0.04; common; 0.13
Lava Coil; 0.05; common; 0.23
Sensei's Divining Top; 17.89; rare; 38.9
Sprouting Thrinax; 0.08; uncommon; 0.13
Aethersnipe; 0.05; common; 0.13
Kaalia of the Vast; 12.49; mythic; 16.97
Severed Strands; 0.04; common; 0.13
Eyeblight's Ending; 0.04; common; 0.13
Figure of Destiny; 0.19; rare; 0.9
Mizzix of the Izmagnus; 1.78; mythic; 7.9
Emiel the Blessed; 7.37; mythic; 14.91
Mana Leak; 0.04; common; 0.43
Civic Saber; 0.08; uncommon; 0.14
Reveillark; 0.1; rare; 1.4
Assassin's Trophy; 6.14; rare; 12.89
Wilt-Leaf Liege; 0.55; rare; 1.4
Bant Charm; 0.08; uncommon; 0.35
Roon of the Hidden Realm; 0.17; rare; 1.4
Breakthrough; 0.1; uncommon; 0.95
Planar Bridge; 1.89; rare; 4.9
Venser, Shaper Savant; 0.96; rare; 3.4
Atla Palani, Nest Tender; 0.28; rare; 0.85
Body Double; 0.15; uncommon; 0.85
Dimir Aqueduct; 0.08; uncommon; 0.43
Deathbringer Liege; 0.17; rare; 1.87
Balefire Liege; 0.49; rare; 2.4
Pithing Needle; 0.74; rare; 1.33
Go for the Throat; 0.33; uncommon; 2.18
Qasali Pridemage; 0.04; common; 0.94
Twinflame; 1.76; rare; 3.89
Master of Cruelties; 3.29; mythic; 12.9
Travel Preparations; 0.05; uncommon; 0.14
Dragonlord Silumgar; 5.4; mythic; 9.9
Agony Warp; 0.04; common; 0.13
Grand Arbiter Augustin IV; 6.19; rare; 9.9
Surgical Extraction; 12.79; rare; 19.85
Jodah, Archmage Eternal; 0.15; rare; 0.7
Simic Growth Chamber; 0.08; uncommon; 0.44
Sparkmage's Gambit; 0.04; common; 0.13
Izzet Boilerworks; 0.08; uncommon; 0.43
Mayael's Aria; 1.71; rare; 4.9
Azorius Chancery; 0.08; uncommon; 0.39
Bring to Light; 0.16; rare; 1.4
Talrand, Sky Summoner; 0.14; rare; 0.6
Purphoros's Emissary; 0.04; common; 0.13
Scale Blessing; 0.05; uncommon; 0.14
Forbidden Orchard; 6.68; rare; 16.83
Scion of Darkness; 0.29; uncommon; 1.48
Vampire Sovereign; 0.05; common; 0.17
Lord of Extinction; 2.69; mythic; 4.82
Divine Visitation; 3.45; mythic; 9.83
Ghave, Guru of Spores; 0.98; mythic; 3.9
Sedraxis Specter; 0.08; uncommon; 0.13
Warrior's Oath; 22.69; mythic; 69.83
Eternal Witness; 1.59; uncommon; 2.9
Shadowborn Apostle; 1.25; common; 4.38
Pull from Tomorrow; 0.16; rare; 1.4
Grim Flayer; 1.49; rare; 3.9
Prophetic Bolt; 0.09; uncommon; 0.93
Greater Gargadon; 0.15; rare; 0.43
Aether Vial; 16.17; rare; 34.85
Extract from Darkness; 0.09; uncommon; 0.14
Mikaeus, the Lunarch; 0.18; rare; 2.4
Phyrexian Tyranny; 0.34; rare; 1.83
Goblin Banneret; 0.08; uncommon; 0.14
Conclave Mentor; 0.08; uncommon; 0.33
Fireblade Artist; 0.05; common; 0.13
Glimpse the Unthinkable; 4.68; rare; 7.9
Biogenic Upgrade; 0.04; uncommon; 0.14
Hydroid Krasis; 4.57; rare; 9.9
Green Sun's Zenith; 13.49; rare; 24.89
Brindle Shoat; 0.05; common; 0.22
Thousand-Year Storm; 3.89; rare; 9.83
Blazing Hellhound; 0.08; uncommon; 0.13
Necrotic Ooze; 1.11; rare; 2.9
Food Chain; 28.47; mythic; 69.83
Storm Fleet Pyromancer; 0.04; common; 0.13
Forbidden Alchemy; 0.04; common; 0.14
As Foretold; 4.5; mythic; 9.9
Oracle of Mul Daya; 7.37; rare; 16.83
Drogskol Reaver; 3.98; rare; 9.9
Fiery Fall; 0.04; common; 0.13
Scab-Clan Giant; 0.05; uncommon; 0.13
Judith, the Scourge Diva; 0.18; rare; 0.67
Ambuscade; 0.04; common; 0.13
Mulldrifter; 0.12; uncommon; 1.35
Creakwood Liege; 2.65; rare; 5.9
Pillar of the Paruns; 4.37; rare; 9.89
Young Pyromancer; 0.33; uncommon; 0.93
Boros Garrison; 0.08; uncommon; 0.43
Damnation; 15.29; rare; 23.83
Aven Initiate; 0.04; common; 0.13
Unearth; 0.09; common; 0.79
Tuskguard Captain; 0.05; common; 0.13
Dockside Extortionist; 42.72; mythic; 99.9
Supernatural Stamina; 0.04; common; 0.13
Yahenni, Undying Partisan; 1.9; rare; 5.83
Lyev Skyknight; 0.04; common; 0.13
Elsha of the Infinite; 0.15; rare; 0.42
Domestication; 0.08; uncommon; 0.14
Thistledown Liege; 0.18; rare; 1.33
Mindwrack Liege; 0.34; rare; 2.4
Karador, Ghost Chieftain; 1.68; mythic; 3.91
Animar, Soul of Elements; 2.67; mythic; 23.83
Makeshift Mauler; 0.04; common; 0.13
Doomed Traveler; 0.05; common; 0.13
Bloodforged Battle-Axe; 7.77; rare; 16.89
Bloodflow Connoisseur; 0.04; common; 0.13
Wrenn and Six; 59.39; mythic; 174.85
Glowspore Shaman; 0.04; common; 0.23
Devoted Druid; 1.34; uncommon; 2.5
Wasitora, Nekoru Queen; 0.59; rare; 1.9
Disfigure; 0.04; common; 0.13
Atarka's Command; 0.99; rare; 2.4
Relief Captain; 0.05; common; 0.13
League Guildmage; 0.05; uncommon; 0.14
Dack's Duplicate; 0.33; rare; 2.4
Auger Spree; 0.04; common; 0.13
Surreal Memoir; 0.04; uncommon; 0.13
Bedlam Reveler; 0.24; rare; 1.66
Seekers' Squire; 0.04; common; 0.13
Murkfiend Liege; 0.19; rare; 1.98
Settle Beyond Reality; 0.04; common; 0.13
Bloom Tender; 10.63; rare; 19.89
Intet, the Dreamer; 0.17; rare; 2.39
Labyrinth Champion; 0.08; uncommon; 0.13
Martial Glory; 0.05; common; 0.13
Might of Old Krosa; 0.14; common; 0.44
Path to Exile; 1.84; uncommon; 3.19
Firesong and Sunspeaker; 0.34; rare; 1.9
Ruric Thar, the Unbowed; 0.19; rare; 0.69
Abzan Ascendancy; 0.09; rare; 0.43
Battlefield Promotion; 0.05; common; 0.13
Monastery Mentor; 9.19; mythic; 19.91
Mana Drain; 33.67; mythic; 49.83
Titan's Strength; 0.04; common; 0.13
Ashenmoor Liege; 0.44; rare; 2.16
Carrier Thrall; 0.04; common; 0.13
Wall of Omens; 0.22; uncommon; 1.43
Villainous Wealth; 0.16; rare; 0.9
Militia Bugler; 0.05; common; 0.32
Orzhov Basilica; 0.08; uncommon; 0.44
Tower Gargoyle; 0.05; uncommon; 0.13
Ulasht, the Hate Seed; 0.14; rare; 1.39
Thrive; 0.05; common; 0.13
Hero of the Games; 0.04; common; 0.13
Aurelia, the Warleader; 9.77; mythic; 16.9
Deranged Assistant; 0.05; common; 0.13
Dreg Mangler; 0.04; common; 0.13
Emrakul, the Aeons Torn; 24.47; mythic; 38.9
Liliana, the Last Hope; 9.94; mythic; 25.9
Mistmeadow Witch; 0.09; uncommon; 0.14
Nicol Bolas, God-Pharaoh; 3.17; mythic; 7.9
Unburial Rites; 0.1; uncommon; 0.24
Arachnus Spinner; 0.08; uncommon; 0.15
Mentor of the Meek; 0.18; uncommon; 0.46
Dauntless Escort; 0.32; rare; 0.9
Bitterblossom; 24.79; mythic; 34.9
Chronicler of Heroes; 0.05; common; 0.13
Rancor; 0.79; uncommon; 1.89
Aminatou, the Fateshifter; 3.19; mythic; 5.89
Kolaghan's Command; 5.65; rare; 11.91
Restoration Angel; 0.37; rare; 1.91
Rafiq of the Many; 1.2; rare; 3.9
Leonin Arbiter; 0.79; rare; 7.89
Coldsteel Heart; 0.59; uncommon; 3.75
Wingsteed Rider; 0.04; common; 0.13
Dark-Dweller Oracle; 0.06; common; 0.13
Varina, Lich Queen; 0.18; rare; 0.42
Doran, the Siege Tower; 1.45; rare; 3.89
Psychic Symbiont; 0.05; uncommon; 0.14
Gnarlback Rhino; 0.05; common; 0.13
Abzan Charm; 0.08; uncommon; 0.35
Mana Vault; 42.89; mythic; 79.9
Skeleton Archer; 0.04; common; 0.1
Alesha, Who Smiles at Death; 0.17; rare; 0.43
Crackling Doom; 0.08; uncommon; 0.43
Kederekt Leviathan; 0.17; rare; 2.4
Empyrial Archangel; 0.59; rare; 2.9
Dreamshaper Shaman; 0.08; uncommon; 0.13
Bounty of the Luxa; 0.09; uncommon; 0.42
Rampant Growth; 0.05; common; 0.44
Advanced Stitchwing; 0.05; common; 0.13
Annoyed Altisaur; 0.05; common; 0.13
Shattergang Brothers; 0.18; rare; 1.4
Abzan Falconer; 0.05; uncommon; 0.14
Backdraft Hellkite; 0.19; rare; 0.9
Concordant Crossroads; 22.89; mythic; 38.92
Thraximundar; 0.18; rare; 1.9
Ashen Rider; 0.18; rare; 0.9
Disciple of the Ring; 0.15; rare; 0.43
Kambal, Consul of Allocation; 0.78; rare; 2.4
Hellkite Overlord; 1.2; mythic; 4.39
Anger of the Gods; 0.59; rare; 2.4
Heroic Reinforcements; 0.08; uncommon; 0.13
Vedalken Orrery; 9.68; rare; 19.9
Guided Passage; 0.16; rare; 0.67
Dragon Arch; 0.32; uncommon; 2.78
Ground Assault; 0.04; common; 0.13
Experiment One; 0.15; common; 0.45
Ezuri, Claw of Progress; 3.67; mythic; 12.9
Rishkar, Peema Renegade; 0.17; rare; 0.72
Traveler's Amulet; 0.04; common; 0.13
Elenda, the Dusk Rose; 7.9; mythic; 16.9
Thrumming Stone; 13.45; rare; 25.98
Legion's Initiative; 0.49; rare; 1.66
Force of Negation; 40.92; rare; 78.89
Balustrade Spy; 0.05; common; 0.13
Burning-Tree Emissary; 0.18; common; 0.89
Imperial Seal; 99.99; mythic; 174.83
Golgari Rot Farm; 0.08; uncommon; 0.44
Crucible of Worlds; 17.48; mythic; 29.83
Gifts Ungiven; 0.49; rare; 1.9
Smothering Tithe; 15.94; rare; 28.49
Deadly Recluse; 0.04; common; 0.1
Rift Bolt; 0.09; common; 0.44
Kozilek, Butcher of Truth; 27.72; mythic; 42.9
Tenth District Legionnaire; 0.05; common; 0.13
Master Biomancer; 0.28; rare; 1.4
Privileged Position; 5.85; rare; 12.89
Sensor Splicer; 0.05; common; 0.13
Thought Scour; 0.09; common; 0.45
Rakdos Carnarium; 0.08; uncommon; 0.44
